Type / Creator / Imprint,Publisher,Author,Title,Extra Title Info,Permanent Location,Call Number,Date,Status,Material Type,MMS ID
"Book By Riceville Kiwanis Club. ([Riceville, Iowa] : [Riceville Recorder?], 2005.)","[Riceville, Iowa] : [Riceville Recorder?], 2005.)",Riceville Kiwanis Club.,"150th anniversary cookbook of Riceville, Iowa : a collection of recipes by all the good bakers and cooks in the Riceville area",Riceville Kiwanis Club.,PARKS General Collection,TX715.2 M53 A132x 2005,2005,Item in place,Book,990015761400102756
"Book By Henry, Linda (Des Moines, Iowa : Better Homes and Garden Books, [1993])","Des Moines, Iowa : Better Homes and Garden Books, [1993])","Henry, Linda",Heritage of America cookbook,"[recipe writers, Linda J. Henry, Marge Steenson, Linda Woodrum].",PARKS General Collection,TX715 H4982 1993,1993,Item in place,Book,990018603030102756
"Book By Tipton Woman's Club. (Tipton, Iowa : Tipton Conservative, 1964.)","Tipton, Iowa : Tipton Conservative, 1964.)",Tipton Woman's Club.,How Iowa cooks : a collection of recipes from people of Iowa,"compiled by Tipton Woman's Club, Tipton, Iowa.",PARKS Special Collections,TX715 T6 1964,1964,Item in place,Book,990015794330102756
"Book By Balser, Jean. (Des Moines, Iowa (400 East 14th St., Des Moines, Iowa 50319-0198) : Iowa State Fair Cookbook, Statehouse, [2000])","Des Moines, Iowa (400 East 14th St., Des Moines, Iowa 50319-0198) : Iowa State Fair Cookbook, Statehouse, [2000])","Balser, Jean.",Recipes from the Iowa State Fair : cookbook,"[editors, Jean Balser, Jean Koss and Kathie Swift].",PARKS Special Collections,TX715 R29x 2000,2000,Item in place,Book,990012777830102756
"Book By Iowa Machine Shed (Restaurant). ([Davenport, Iowa] : [Iowa Machine Shed], [between 1980 and 1989?])","Restaurant). ([Davenport, Iowa] : [Iowa Machine Shed], [between 1980 and 1989?])",Iowa Machine Shed,Great farm fixins',,PARKS Special Collections,nocallnumb,nocallnumb,Item in place,Book,990016177190102756
"Book By National Live Stock and Meat Board. Homemaker's Service Department. (Chicago : Homemaker's Service Dept, National Live Stock and Meat Board, [between 1951 and 1962?])","Chicago : Homemaker's Service Dept, National Live Stock and Meat Board, [between 1951 and 1962?])",National Live Stock and Meat Board. Homemaker's Service Department.,Galaxy of foods cook book.,,PARKS Special Collections,TX749 G35x 1951,1951,Item in place,Book,990018993950102756
"Book By Haugland, Ann. (Deep River, Iowa : Brennan Printing, 1999.)","Deep River, Iowa : Brennan Printing, 1999.)","Haugland, Ann.",Sampling Iowa treasures : a collection of trivia and recipes featuring bed & breakfasts and tea rooms across Iowa,Ann Haugland and Karen Hesser.,PARKS General Collection,TX715.2 M53 S36x 1999,1999,Item in place,Book,990015978260102756
"Book (Larchwood, Iowa : Stateline Graphics, [1997])","Larchwood, Iowa : Stateline Graphics, [1997])",Book,"Larchwood, IA cookbook : a special collection of recipes contributed by the residents of Larchwood in celebration of the 125th anniversary of their town.",,PARKS General Collection,TX715.2 M53 L37x 1997,1997,Item in place,Book,990016237650102756
"Book By Lowey, Juliana, ([Shenandoah, Iowa?] : Driftmier Company, [1983])","[Shenandoah, Iowa?] : Driftmier Company, [1983])","Lowey, Juliana,",The best of Kitchen-Klatter dessert recipes.,,PARKS Special Collections,TX715.2.M53 B469x 1983,1983,Item in place,Book,9921598316502756
"Book By Lowey, Juliana, ([Shenandoah, Iowa?] : Driftmier Company, [1985])","[Shenandoah, Iowa?] : Driftmier Company, [1985])","Lowey, Juliana,","The best of Kitchen-Klatter : bread, brunch & lunch recipes.",,PARKS Special Collections,TX715.2.M53 B467x 1985,1985,Item in place,Book,9921587116902756
