Cylinders,Consumption.mpg
6,23
6,22
4,33
4,31
6,25
6,25
4,34
4,34
4,30
4,31
6,26
6,25
6,25
6,25
6,26
6,25
6,26
6,25
6,25
6,25
6,23
6,22
6,25
6,24
6,25
6,24
6,27
4,36
4,36
4,32
4,34
4,37
4,40
4,31
6,24
4,28
6,22
6,19
4,29
6,27
4,32
4,35
4,27
4,28
6,24
6,22
4,35
4,38
4,34
4,36
4,34
4,35
4,35
4,38
4,34
4,36
4,34
4,35
4,41
4,41
6,23
6,22
4,34
4,35
4,31
6,27
4,28
4,26
6,27
4,29
4,28
6,27
6,26
6,26
6,27
6,24
4,29
4,28
6,27
6,25
6,25
6,27
6,26
6,26
6,25
6,28
4,35
4,33
4,32
4,33
4,31
4,32
4,39
4,39
6,23
6,24
4,25
6,23
6,24
4,36
4,36
4,36
4,39
4,36
4,36
4,42
4,36
4,32
4,34
4,47
4,29
6,26
6,25
6,23
4,31
4,29
4,30
4,30
4,28
4,28
6,22
6,24
6,23
6,22
6,22
6,20
6,21
6,23
6,23
6,21
6,21
4,37
4,37
4,43
4,40
4,35
6,25
6,23
6,22
4,32
4,37
4,36
4,35
4,39
4,33
4,35
4,31
4,32
4,35
4,30
4,51
6,28
6,27
6,27
4,31
6,24
6,27
6,25
4,30
4,29
4,28
4,27
6,23
6,22
6,19
6,24
6,22
4,31
6,24
4,28
6,22
4,36
4,35
4,32
6,31
6,29
6,26
4,59
4,40
4,39
4,37
6,26
4,31
4,30
4,45
4,41
4,38
4,37
6,27
6,25
6,24
6,21
4,37
4,37
4,33
4,33
6,25
6,25
6,24
4,27
4,25
4,25
4,29
4,33
4,46
4,45
4,30
4,28
4,28
4,27
4,27
4,37
4,35
4,32
4,33
4,33
4,30
6,27
4,28
6,26
4,28
6,26
4,26
6,24
4,29
4,29
4,31
4,29
4,30
4,28
4,30
4,25
6,23
4,29
4,29
4,31
4,29
4,30
4,28
4,30
4,25
6,22
6,22
6,21
6,21
6,26
4,34
4,35
4,34
4,34
4,29
4,29
4,34
4,33
4,30
4,29
4,34
4,33
4,29
4,32
4,46
4,44
4,37
4,37
4,37
4,31
4,30
6,24
4,27
6,25
4,26
6,24
4,32
4,31
4,31
4,32
4,28
4,25
4,25
4,26
4,50
4,47
6,29
6,24
6,25
6,24
6,25
6,22
4,28
6,23
6,23
4,31
6,25
4,45
4,34
4,35
4,33
4,33
4,32
6,23
6,22
4,37
4,38
4,41
4,40
4,38
4,39
4,40
4,40
4,39
4,37
4,39
4,39
4,29
4,29
4,37
4,35
4,39
4,34
4,34
4,30
4,33
4,33
4,33
4,31
4,32
4,32
4,31
4,37
6,30
4,23
4,25
6,22
6,21
6,22
6,24
4,30
6,27
6,26
4,32
6,25
4,34
4,33
4,40
4,36
4,43
4,37
6,20
6,21
6,22
6,24
6,25
6,25
4,46
4,31
4,31
4,29
4,29
4,35
4,36
4,33
4,29
4,36
4,33
4,36
4,33
4,33
4,29
6,24
4,31
4,29
6,24
6,22
4,33
4,31
4,37
6,22
6,22
6,29
4,34
6,29
4,50
4,47
4,37
4,39
4,40
4,38
4,42
4,41
4,33
4,34
6,22
6,20
4,27
6,25
6,25
6,34
6,34
4,59
4,60
4,51
4,32
4,30
4,30
6,25
6,23
4,26
4,28
6,22
4,24
4,24
6,21
6,20
6,21
4,28
6,26
4,28
6,25
4,39
4,40
4,33
4,32
4,32
4,34
4,34
4,30
4,31
4,33
4,33
6,23
6,25
6,28
6,25
6,25
6,24
6,25
