"radon","county"
6.4,"OLMSTED"
4.4,"OLMSTED"
11.2,"OLMSTED"
10,"OLMSTED"
4.5,"OLMSTED"
8,"OLMSTED"
2.3,"OLMSTED"
3.2,"OLMSTED"
5,"OLMSTED"
4.1,"OLMSTED"
1.1,"OLMSTED"
2,"OLMSTED"
1.1,"OLMSTED"
2.9,"OLMSTED"
2.1,"OLMSTED"
7.8,"OLMSTED"
3.8,"OLMSTED"
2.5,"OLMSTED"
2.9,"OLMSTED"
1.7,"OLMSTED"
2.5,"OLMSTED"
9.4,"OLMSTED"
0.6,"OLMSTED"
7.5,"STEARNS"
6.4,"STEARNS"
8.3,"STEARNS"
2.1,"STEARNS"
3.3,"STEARNS"
1.3,"STEARNS"
5,"STEARNS"
1,"STEARNS"
7,"STEARNS"
5.7,"STEARNS"
10.1,"STEARNS"
6.6,"STEARNS"
2.6,"STEARNS"
3.3,"STEARNS"
1.5,"STEARNS"
5,"STEARNS"
7.4,"STEARNS"
14.5,"STEARNS"
1.8,"STEARNS"
7.4,"STEARNS"
2.6,"STEARNS"
3.7,"STEARNS"
1.9,"STEARNS"
2.2,"STEARNS"
5,"STEARNS"
