Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
1960,1080,1656,7,2,2010,215000,L,50
1961,882,896,5,1,2010,105000,S,49
1958,1329,1329,6,1,2010,172000,S,52
1968,2110,2110,8,2,2010,244000,L,42
1997,928,1629,6,2,2010,189900,L,13
1998,926,1604,7,2,2010,195500,L,12
2001,1338,1338,6,2,2010,213500,L,9
1992,1280,1280,5,2,2010,191500,L,18
1995,1595,1616,5,2,2010,236500,L,15
1999,994,1804,7,2,2010,189000,L,11
1993,763,1655,7,2,2010,175900,L,17
1992,1168,1187,6,2,2010,185000,L,18
1998,789,1465,7,2,2010,180400,L,12
1990,1300,1341,5,2,2010,171500,L,20
1985,1488,1502,4,2,2010,212000,L,25
2003,1650,3279,12,3,2010,538000,L,7
1988,559,1752,8,2,2010,164000,L,22
2010,1856,1856,8,3,2010,394432,L,0
1951,864,864,4,2,2010,141000,L,59
1978,1542,2073,7,2,2010,210000,L,32
1977,1844,1844,7,2,2010,190000,L,33
1974,1053,1173,6,2,2010,170000,L,36
2000,814,1674,7,2,2010,216000,L,10
1970,1004,1004,5,2,2010,149000,L,40
1971,1078,1078,6,2,2010,149900,L,39
1968,1056,1056,6,1,2010,142000,S,42
1970,882,882,4,2,2010,126000,L,40
1971,864,864,5,0,2010,115000,S,39
1999,1405,1337,5,2,2010,184000,L,11
1971,483,987,5,1,2010,96000,S,39
1971,525,1092,6,1,2010,105500,S,39
1971,525,1092,6,1,2010,88000,S,39
1977,1069,1069,4,2,2010,127500,L,33
1975,855,1456,6,2,2010,149900,L,35
1975,836,836,4,1,2010,120000,S,35
1978,855,1456,7,2,2010,146000,L,32
2009,1590,2334,10,3,2010,376162,L,1
2007,1704,1704,7,3,2010,306000,L,3
2009,1930,1940,8,3,2010,395192,L,1
2009,1544,1544,7,3,2010,290941,L,1
2005,1541,1541,7,2,2010,220000,L,5
2005,1698,1698,7,3,2010,275000,L,5
2005,1822,1822,8,3,2010,259000,L,5
2004,1517,1535,7,2,2010,214000,L,6
2009,2330,2364,11,3,2010,611657,L,1
2009,1358,1358,6,2,2010,224000,L,1
2003,2846,2696,10,3,2010,500000,L,7
2002,1671,2250,7,3,2010,320000,L,8
2005,1752,1752,6,2,2010,319900,L,5
2006,1370,1370,6,2,2010,205000,L,4
2003,764,1626,6,2,2010,175500,L,7
2005,1324,1324,6,2,2010,199500,L,5
2006,1145,1145,6,2,2010,160000,L,4
2004,1256,1269,6,2,2010,192000,L,6
2004,384,1374,7,2,2010,184500,L,6
2002,860,1960,8,2,2010,216500,L,8
2004,847,1733,7,2,2010,185088,L,6
2000,384,1430,7,2,2010,180000,L,10
2001,884,2035,8,2,2010,222500,L,9
1999,1393,2599,10,3,2010,333168,L,11
1998,1629,2475,7,3,2010,355000,L,12
1996,1720,1720,7,2,2010,260400,L,14
1994,1463,2622,9,2,2010,325000,L,16
1999,1152,2270,9,3,2010,290000,L,11
1998,1195,1839,7,2,2010,221000,L,12
1995,2033,3238,9,3,2010,410000,L,15
2005,1595,1595,6,3,2010,221500,L,5
2009,1218,1218,4,2,2010,204500,L,1
2009,756,1547,7,2,2010,215200,L,1
2008,1566,1566,7,2,2010,262500,L,2
2004,991,1947,8,2,2010,254900,L,6
