Pig,Time,Treatment
1,18,Control
2,36,Control
3,50,Control
4,52,Control
5,86,Control
6,87,Control
7,89,Control
8,91,Control
9,102,Control
10,108,Control
11,113,Control
12,114,Control
13,115,Control
14,118,Control
15,119,Control
16,120,Control
17,149,Control
18,160,Control
19,165,Control
20,166,Control
21,167,Control
22,167,Control
23,173,Control
24,178,Control
25,189,Control
26,209,Control
27,212,Control
28,216,Control
29,273,Control
30,278,Control
31,279,Control
32,292,Control
33,341,Control
34,355,Control
35,367,Control
36,380,Control
37,382,Control
38,421,Control
39,421,Control
40,432,Control
41,446,Control
42,455,Control
43,463,Control
44,474,Control
45,505,Control
46,545,Control
47,546,Control
48,569,Control
49,576,Control
50,590,Control
51,603,Control
52,607,Control
53,608,Control
54,621,Control
55,634,Control
56,637,Control
57,638,Control
58,641,Control
59,650,Control
60,663,Control
61,685,Control
62,688,Control
63,725,Control
64,735,Control
65,76,Bacilli
66,93,Bacilli
67,97,Bacilli
68,107,Bacilli
69,108,Bacilli
70,113,Bacilli
71,114,Bacilli
72,119,Bacilli
73,136,Bacilli
74,138,Bacilli
75,139,Bacilli
76,152,Bacilli
77,154,Bacilli
78,154,Bacilli
79,160,Bacilli
80,164,Bacilli
81,164,Bacilli
82,166,Bacilli
83,168,Bacilli
84,178,Bacilli
85,179,Bacilli
86,181,Bacilli
87,181,Bacilli
88,183,Bacilli
89,185,Bacilli
90,194,Bacilli
91,198,Bacilli
92,212,Bacilli
93,213,Bacilli
94,216,Bacilli
95,220,Bacilli
96,225,Bacilli
97,225,Bacilli
98,244,Bacilli
99,253,Bacilli
100,256,Bacilli
101,259,Bacilli
102,265,Bacilli
103,268,Bacilli
104,270,Bacilli
105,283,Bacilli
106,289,Bacilli
107,291,Bacilli
108,311,Bacilli
109,315,Bacilli
110,326,Bacilli
111,326,Bacilli
112,361,Bacilli
113,373,Bacilli
114,373,Bacilli
115,376,Bacilli
116,397,Bacilli
117,398,Bacilli
118,406,Bacilli
119,459,Bacilli
120,466,Bacilli
121,592,Bacilli
122,598,Bacilli
