"lake" "tn" "chl" "secchi" "crop" "forest" "grass" "urban" "region"
109 0.200169119 2.808477257 3.035434885 0 0.952141364 0.034571737 0 "ozarks"
102 0.211583553 1.955599493 2.579085903 0.00096 0.8284 0.166 1e-05 "ozarks"
37 0.212893785 3.412825082 1.939375288 0.002579988 0.881499141 0.107707822 0 "ozarks"
36 0.226525692 4.508642502 1.822352294 0.013965544 0.873467852 0.101854364 0.001929026 "ozarks"
39 0.230491362 2.080114215 3.114606197 0.000234101 0.923605142 0.025282864 0 "ozarks"
33 0.237238651 2.044095367 3.080854699 0.000460771 0.879948068 0.10614501 0 "ozarks"
146 0.239930261 4.093169959 1.173908895 0.00780187 0.905257307 0.067456209 0 "ozarks"
112 0.249406109 1.07608073 2.852457829 0.000868432 0.757273154 0.094224894 0 "ozarks"
16 0.275860066 1.460919907 3.965304598 0.014163783 0.737969607 0.187398146 0 "ozarks"
40 0.278541918 2.90281404 2.329646227 0.005804832 0.8835632 0.09676052 0 "ozarks"
18 0.28166841 1.27204248 4.266598711 0.012043362 0.54114906 0.219991246 0 "ozarks"
17 0.324923208 1.543730029 2.621512725 0.003812821 0.661351601 0.244020914 0 "ozarks"
19 0.32705637 1.567461654 3.35027143 0.024837423 0.513305569 0.322294399 0 "ozarks"
96 0.350002159 4.033516724 2.579463776 0.059837033 0.354345246 0.4992776 0.030038858 "ozarks"
98 0.362687501 4.114596563 3.273454383 0.045873803 0.388787697 0.47853198 0.049943191 "ozarks"
186 0.368500453 5.79366292 1.773837754 0.0025 0.6739 0.2971 0.003 "ozarks"
20 0.368622983 2.226778758 2.125325083 0 0.943109031 0.009615378 0 "ozarks"
93 0.378331421 5.600997845 2.855075955 0.064473583 0.283072817 0.582671234 0.027764536 "ozarks"
155 0.383451645 4.068480462 1.955297204 0.004204719 0.030888625 0.038651276 0.866256884 "plains"
21 0.385226276 3.178437807 1.981415972 0.048420494 0.524655823 0.353005527 0 "ozarks"
15 0.386366368 2.623477232 2.573153915 0.018587404 0.674890201 0.109834628 0.140925706 "ozarks"
5 0.414252139 4.44188308 1.971298094 0.053800355 0.836080562 0.077609906 0 "plains"
45 0.418101957 2.668442923 1.701028932 0.053902056 0.493086269 0.198734385 0 "plains"
133 0.422488273 4.365955875 1.267087699 0.032420285 0.671806422 0.155395418 0.074309351 "plains"
106 0.426805805 2.956725104 1.937805548 0 0.7976 0.1746 0 "ozarks"
10 0.43782897 3.836366202 1.079649627 0.056138059 0.780034829 0.097640964 0 "ozarks"
85 0.443795958 3.645548119 2.555533584 0.0116 0.1076 0.7355 0.0262 "plains"
95 0.470508773 15.26498517 1.220756291 0.051847195 0.324272815 0.567909342 0.015673527 "ozarks"
104 0.478852686 11.58748101 1.040643208 0.014312632 0.519774246 0.391336795 0 "ozarks"
14 0.481500011 4.060019969 1.753113983 0.110691402 0.574301703 0.257344971 0 "ozarks"
30 0.482735287 18.98232105 0.847551235 0.045216657 0.715454222 0.209501923 0.014998013 "ozarks"
110 0.486653154 7.934535627 0.89122392 0.108014903 0.521832801 0.301781138 0.004740014 "ozarks"
35 0.48929065 6.773087145 1.372154819 0.037453069 0.656179637 0.241198881 0 "ozarks"
108 0.49573488 10.77394039 1.530420307 0.052331624 0.526942566 0.32901599 0 "ozarks"
92 0.500630369 12.9035158 1.7316194 0.071432725 0.319877092 0.560822477 0.021125639 "ozarks"
2 0.502328278 5.079081411 1.623240639 0.081294431 0.714553844 0.178744232 0 "ozarks"
3 0.507304531 6.505037572 1.768718196 0.138 0.49 0.323 1e-04 "plains"
80 0.509393745 8.017264496 1.184664864 0.1541 0.171 0.6159 0.001 "plains"
43 0.518858818 6.194633589 1.201437093 0.134874616 0.376327909 0.363741916 0 "ozarks"
105 0.519378425 5.85720406 1.55122752 0.013477109 0.566037545 0.331536577 0 "ozarks"
50 0.519928543 6.396113338 1.30812764 0.005194495 0.872070438 0.070910939 0 "plains"
26 0.524647497 8.911571412 1.338132548 0.0547423 0.555696655 0.270528456 0 "ozarks"
41 0.538109874 5.685970173 1.764105904 0.057 0.405 0.502 3e-04 "ozarks"
71 0.545900457 11.37158007 1.379931948 0 0 0 0.947596663 "plains"
116 0.546436236 16.6323345 1.24429706 0.133406835 0.117428732 0.142512689 0.526187857 "plains"
27 0.558875833 6.778226628 1.507970064 0.005376344 0.663978313 0.110215114 0 "ozarks"
149 0.561842724 10.95610957 1.8270743 0.07625734 0.53125714 0.335758066 0.021113962 "ozarks"
148 0.569771414 16.14372273 1.086960041 0.123082264 0.128542413 0.132660743 0.517643776 "plains"
38 0.573459917 24.00138791 0.747415228 0.032417941 0.678889175 0.222857051 0.060199712 "ozarks"
182 0.581371356 6.302884769 2.34659297 0.1186 0.391 0.4007 0 "plains"
23 0.596844952 15.68836929 1.053853287 0.05542399 0.57592417 0.300192495 0.051431311 "ozarks"
62 0.59832525 5.765959164 1.898386455 0.229 0.094 0.644 0.005 "plains"
111 0.601410304 13.4010538 0.942693272 0.046517968 0.517004493 0.402057917 0 "ozarks"
32 0.602746023 11.57137798 1.397186557 0.021576474 0.833098365 0.021582944 0 "ozarks"
74 0.605441229 16.29029551 0.841813344 0.158642567 0.302840351 0.451733271 0.002648051 "plains"
107 0.605789441 17.804534 1.294336732 0.048406782 0.521445622 0.363971106 0 "ozarks"
67 0.610121101 13.61380648 1.357834509 0.145 0.122 0.546 0.1 "plains"
22 0.617617264 15.73863214 1.308541971 0.076778813 0.51248355 0.367575162 0.002855745 "ozarks"
87 0.622484933 7.425981648 1.197824659 0.118436618 0.206496066 0.496217341 0 "plains"
131 0.624886255 7.203216587 1.209142428 0.063753824 0.276840489 0.567154243 0 "plains"
77 0.65444442 11.61831339 1.11599101 0.164438603 0.495989064 0.299465379 0 "plains"
86 0.660779098 10.76157619 0.959581745 0.075534786 0.36931768 0.480281212 0 "plains"
24 0.66140147 25.24225834 0.6760131 0.099694578 0.532223115 0.346892835 0.006761166 "ozarks"
68 0.671608848 10.59251952 0.815130266 0.002645098 0.000285392 0.00489344 0.964221575 "plains"
83 0.674648238 9.078262519 1.062851467 0.112107616 0.222720564 0.561733788 0 "plains"
158 0.68489501 9.476491704 0.625074578 0.15789486 0.299455207 0.465744291 0 "plains"
168 0.69233701 12.90906537 0.324451305 0.307637856 0.253889683 0.292079124 0 "plains"
99 0.707093413 2.520879269 2.552703548 0.022482829 0.504071149 0.256039416 0.193281939 "ozarks"
169 0.717321139 14.87711786 0.291494104 0.456486106 0.169003613 0.21182233 0.03435641 "plains"
117 0.720168669 15.07739477 0.671330802 0.372021438 0.181014621 0.341564182 0 "plains"
11 0.72911858 16.13853008 1.320831893 0.057975236 0.697151762 0.1988551 0 "ozarks"
89 0.740365808 13.94769743 1.143538588 0.222928202 0.257033326 0.464521376 0.020879917 "plains"
47 0.740783254 18.3584895 0.779725345 0.400069202 0.187006109 0.242335322 0.086870166 "plains"
211 0.747216035 24.01253891 0.722436634 0.1915 0.1463 0.5861 0.0462 "plains"
65 0.750306541 20.38686838 1.190979207 0.070292624 0.01248509 0.085000856 0.772190445 "plains"
13 0.763891075 21.44934271 0.872398141 0.262404797 0.222254073 0.262745869 0.176172083 "ozarks"
164 0.773196475 16.9613499 0.701388604 0.194556977 0.137642513 0.619849605 0 "plains"
181 0.777479608 14.33886883 1.472758984 0.352 0.067 0.51 1e-04 "plains"
72 0.785374967 15.08805108 0.964226871 0.280088608 0.182249728 0.459562 0.022367681 "plains"
46 0.790068412 13.12750667 0.51900105 0.249810583 0.217838183 0.463452239 0.010120648 "plains"
44 0.790888037 12.3536493 0.892910123 0.170148974 0.399787435 0.356763362 0 "ozarks"
115 0.792245992 17.22019173 0.880523833 0.421904627 0.229812558 0.254845231 0 "plains"
159 0.79448108 16.25559099 1.024196374 0.346006003 0.10340237 0.475591797 0 "plains"
42 0.795583108 14.5906703 0.772625891 0.446882162 0.276901627 0.174091486 0 "plains"
120 0.801690982 15.62869057 0.711176109 0.147765381 0.030738344 0.169372576 0.609672243 "plains"
69 0.81970295 13.55572558 0.789047115 0.587955519 0.068884134 0.233052981 0.042436952 "plains"
28 0.820952149 34.80190551 0.790975555 0.060606018 0.584479373 0.282679424 0 "ozarks"
57 0.824443213 13.25347573 0.839679379 0.09306568 0.544160195 0.27883256 0 "plains"
1 0.851032831 15.34187912 0.986667764 0.144869714 0.296330255 0.280306522 0.261442884 "ozarks"
162 0.853880659 19.14275092 1.025569213 0.528212888 0.065199784 0.363660775 0 "plains"
49 0.856938988 22.00412332 0.688377931 0.319046498 0.156209605 0.408021878 0.06268612 "plains"
73 0.86485605 19.76275216 0.558821878 0.148245835 0.086503015 0.395427087 0.323569714 "plains"
118 0.867123392 10.9024066 0.481129172 0.160864312 0.019887815 0.168652476 0.600898955 "plains"
61 0.879120401 21.49839837 0.894820906 0.628351056 0.101543554 0.231518905 0 "plains"
179 0.884232696 20.29180018 0.808586928 0.3887 0.1373 0.3642 0 "plains"
25 0.889760876 35.98363296 0.75124758 0.119779485 0.083092599 0.540144707 0.207775493 "ozarks"
48 0.896189216 11.2629201 0.62740439 0.341509395 0.232781978 0.370312196 0.010053238 "plains"
66 0.900451842 20.85804142 0.727433511 0.123424944 0.006732741 0.098136296 0.752154203 "plains"
52 0.907036119 11.42607489 0.671961864 0.285937579 0.179810716 0.438007968 0.016235857 "plains"
