"trt" "time"
1 3.062
1 1.045
1 1.553
1 2.207
1 2.211
1 3.427
1 2.353
1 0.823
1 2.505
1 1.959
1 1.478
1 0.968
1 1.276
1 1.402
1 1.441
1 1.725
1 2.445
1 1.395
1 1.552
1 1.673
1 1.81
1 2.101
1 2.132
1 2.825
1 0.986
1 1.845
1 1.615
1 1.662
1 1.293
1 1.417
1 1.516
1 2.509
1 1.623
1 1.986
1 1.477
1 2.124
1 0.874
1 2.359
1 1.515
1 1.243
2 1.84
2 1.629
2 1.162
2 1.12
2 0.877
2 1.257
2 1.636
2 1.276
2 1.202
2 1.152
2 2.025
2 1.587
2 1.724
2 1.414
2 1.298
2 0.983
2 1.538
2 1.773
2 1.716
2 1.741
2 1.262
2 0.617
2 1.34
2 1.176
2 1.596
2 0.922
2 1.506
2 1.289
2 1.796
2 2.014
