"ring" "bm" "hcb" "oxy" "dde"
15783 1870 51.61 85.6 227.77
15927 1470 12.35 13.19 52.47
353043 1320 9.57 12 52.61
353355 1440 28.13 44.31 105.03
366501 1910 35.47 68.49 285
366551 1930 4.49 3.82 36.06
366554 1415 3.24 6.86 25.11
366748 1520 12.53 15.28 66.23
366893 1760 4 8.76 42.32
366900 1900 9.01 11.78 61.01
366901 1700 11.87 12.24 58.37
366976 1810 29.58 17.88 96.79
366978 1675 26.7 18.35 103.24
366980 1940 6.74 6.61 35.9
366987 1300 21.87 14.97 101.29
372441 1610 22.95 30.19 71.69
372442 1390 4.39 8.16 26.13
372443 1590 6.63 4.17 33.97
372444 1840 13.41 24.68 98.88
372445 1490 11.58 18.87 90.35
372446 1590 21.88 22.97 54.6
372447 1720 9.19 12.03 49.13
372448 1890 23.79 27.69 110.66
372449 1440 9.04 12.02 42.65
372450 1490 11.23 13 55.35
380117 1860 75.33 62.31 203.57
380387 1530 6.63 4.17 33.97
380388 1840 14.45 18.43 74.87
380389 1690 13.57 17.45 76.57
380390 1440 12.19 26.72 92.45
380391 1640 21.15 44.49 93.6
380392 1490 15.57 27.63 85.12
380393 1710 30.38 39.72 12.09
380394 1440 7.41 9.96 44.77
380395 1690 15.47 15.09 33.08
380396 1380 23.83 21.53 83.39
380397 1610 7.35 12.47 41.22
380398 1690 13.13 10.34 80.25
380399 2100 18.34 28.86 79.12
380400 1360 8.85 10.09 62.12
380451 1370 8.34 13.89 73.79
380452 1540 6.64 8.88 34.24
380453 1440 10.44 9.6 54.25
380454 1880 10.99 33.46 88.22
380455 1790 27.08 40.92 118.18
380456 1640 18.49 66.46 153.98
380457 1590 19.22 22.78 61.33
380458 1820 9.26 9.41 55.35
380459 1470 4.02 5.58 27.56
380460 1570 8.14 10.24 47.13
380461 1790 7.68 11.91 61.77
380462 1670 6.4 11.46 81.72
380463 1530 4.85 5.25 26.97
380464 1810 13.41 15.04 58.88
380465 1720 16.15 36.69 132.2
380466 1720 60.41 71.1 193.64
380467 1940 30.93 22.36 100.92
380468 1640 23.28 24.83 104.28
380469 1900 45.81 54.18 226.39
380470 1890 15.91 9.92 59.77
380471 1890 14.12 25.04 129.51
380472 1860 47.16 67.17 236.94
380473 1890 75.08 105.36 297.23
380474 1470 4.94 7.5 32.94
380475 1680 6.07 9.81 32.07
380476 1740 4.49 12.07 41.61
380477 1540 10.37 24.85 78.28
380478 1740 13.11 77.63 178.5
380479 1790 28.75 117.68 284.34
380480 1920 25.3 32.91 106.14
380481 1370 9.33 18.3 38.17
380482 1440 8.77 9.38 34.72
380483 1800 31.31 38.42 114.51
380485 1450 4.51 1.27 32.13
380486 1440 2.97 4.12 21.29
380487 1450 6.24 4.95 29.21
380488 1690 32.57 32.43 150.98
380489 1880 22.49 19.29 89.34
380490 1460 4.42 5.04 22.32
380491 1460 6.62 6.1 26.64
380492 1670 62.78 121.67 429.02
380493 1860 20.04 29.25 111.79
380494 1570 7.57 13.43 72.79
380495 1400 2.31 2.22 23.21
380496 1370 3.84 3.39 23.18
380497 1520 2.19 2.28 12.22
380498 1520 4.62 8.43 32.23
380499 1470 15.16 11.43 48.98
380500 1390 1.02 2.24 6.76
380840 1840 23.31 36.47 122.09
380851 1460 5.43 6.6 48.21
380852 1400 4.06 5.7 29.02
380853 1590 4.3 6.26 47.99
380854 1970 2.65 3.98 25.72
380855 1510 3.18 2.64 14.29
380856 1765 8.06 16.75 92.98
380857 1760 7.34 6.67 53.81
380858 1870 64.49 40.95 202.7
380859 1980 30.12 12.41 82.55
380860 1860 15.91 27.19 88.29
380861 1510 3.23 4.14 26.99
380862 1740 9.99 19.7 98.51
380863 1840 4.11 4.26 29.77
380864 1560 3.35 3.2 13.31
380865 1980 38.96 44.34 95.73
380866 1570 18.89 10.41 49.26
380867 1440 19.85 8.33 54.12
380868 1540 5.14 5.86 34.29
380869 1530 42.01 51.03 219.16
