Probe Name,Smith-00h_SLD_REP1,Smith-01h_SLD_REP1,Smith-02h_SLD_REP1,Smith-04h_SLD_REP1,Smith-08h_SLD_REP1,Smith-12h_SLD_REP1,Smith-13h_SLD_REP1,Smith-14h_SLD_REP1,Smith-16h_SLD_REP1,Smith-20h_SLD_REP1,Smith-24h_SLD_REP1,Smith-00h_SLD_REP2,Smith-01h_SLD_REP2,Smith-02h_SLD_REP2,Smith-04h_SLD_REP2,Smith-08h_SLD_REP2,Smith-12h_SLD_REP2,Smith-13h_SLD_REP2,Smith-14h_SLD_REP2,Smith-16h_SLD_REP2,Smith-20h_SLD_REP2,Smith-24h_SLD_REP2
AFFX-r2-P1-cre-5_at,3911.9,1888.8,2533,2972.3,3149.4,4020.1,3352.4,3161.9,4292.1,4240.8,3145.4,3164.7,2488.1,2262.5,2532.5,3343.8,2906.1,2795.6,3328,2597.3,2727,2723.1
AFFX-r2-P1-cre-3_at,4500.8,2489.8,3102.1,3680.3,3621.8,4346.3,3810.3,3629,4950.8,4714.1,3934.8,3677.9,3057.8,2440,3002.8,3882.3,3574.8,3586.7,4133.9,3275.4,3404.3,3383.3
AFFX-r2-Ec-bioD-5_at,842.6,450.6,608.1,771.5,701.2,947.4,775.8,672.1,1043.9,985.7,823.3,749.2,562.8,595.4,567.9,617.2,580.7,620.8,974.2,723.8,738.1,560.4
AFFX-r2-Ec-bioD-3_at,967.8,506.7,667,850.2,768.5,1038.6,853.4,784.5,1100.4,1101.4,974.7,909.8,707.5,612.7,737.9,737.5,620.3,765.2,1007.6,795.9,852,885.4
AFFX-r2-Ec-bioC-5_at,213.8,133.5,149.9,191,179.6,246.1,188.6,168.3,233.5,277.6,198.2,205.3,141.7,125.1,145.5,215.6,173.5,166.5,210.3,151.6,169.2,171.5
AFFX-r2-Ec-bioC-3_at,260,159.1,192,204.1,215.6,285,231.1,223,298.7,293.9,236.5,242,182.1,159.2,189.1,222.7,200.6,201.4,254.5,213.9,217.5,244.3
AFFX-r2-Ec-bioB-M_at,101.5,58.8,70.3,95.8,85.4,108.6,95.8,79.4,107.4,108.9,93.7,108.6,77.9,62,77.7,89.3,71.1,86.9,105.6,75.5,96.1,120.5
AFFX-r2-Ec-bioB-5_at,67.6,69.8,74.7,56.3,74.1,70.9,85,72.7,94.3,108.4,105.1,74.6,50.3,44.4,58.9,91.4,75.8,55,72.5,94.5,59.8,78.2
AFFX-r2-Ec-bioB-3_at,77,41.8,60,55.5,50.5,87.1,65.3,65,91.4,96.5,65.9,58.2,47.7,36.9,52.2,55.6,44.4,51.7,70.6,52.6,58.5,66.1
AFFX-r2-Bs-thr-M_s_at,2.9,2.6,9.9,1.8,4.5,10.1,7.9,5,2.3,5.2,2.9,2.1,1.7,1.8,2.1,6.1,8.7,2.5,1.9,4.9,3.2,2
AFFX-r2-Bs-thr-5_s_at,22.8,17.7,19,9.1,15.4,21.4,13.2,16.6,12.6,15.8,29.2,6.4,10.6,9.6,7.6,15.5,12.3,10.3,11.4,13.1,15,15.6
AFFX-r2-Bs-thr-3_s_at,1.2,3.2,1.6,1.3,2.2,0.9,2.3,2.2,2.6,1.2,2.3,1.7,2.1,1.1,2.4,1.2,2.1,1.8,2.7,1.4,2.4,1
AFFX-r2-Bs-phe-M_at,3.6,3.9,4.2,1,0.6,5.3,1.9,3.5,0.9,0.9,7.2,0.6,0.7,0.3,3.9,1.1,0.2,0.3,0.7,0.3,0.8,1.9
AFFX-r2-Bs-phe-5_at,1.4,2.8,0.3,4.3,0.5,7.6,6.1,0.5,1,9.6,5,2.7,3.1,0.5,2.9,0.6,0.8,0.6,0.4,2.6,4.2,7.5
AFFX-r2-Bs-phe-3_at,2.2,3.7,1.5,2,9.4,9.9,6.9,8.8,9.7,7.9,7.4,1.6,5.7,1.9,7,4.7,1.6,1,3.6,4.7,1.3,0.8
AFFX-r2-Bs-lys-M_at,2.8,0.4,0.5,4.5,3.9,1,0.9,4.1,5.2,2.4,3.8,4.9,2.3,1.6,1.1,1.3,1.1,2.1,2.6,0.4,2,0.7
AFFX-r2-Bs-lys-5_at,6.4,0.8,2.7,5.1,7.4,1.5,6.1,2.3,4.7,6.5,2,4.2,3,0.9,0.6,3.9,7.2,0.6,1.8,0.9,2.6,0.6
AFFX-r2-Bs-lys-3_at,1.4,4.9,6.3,7.5,7.8,5,7.7,7.7,3.5,5.5,8,8,5.8,7.1,4.5,6,7.7,6.5,6.5,2.1,6.2,13
AFFX-r2-Bs-dap-M_at,0.5,7,1.3,0.8,3,0.1,0.4,0.1,0.5,1.4,4.4,0.1,0.3,0.9,0.2,3,6.5,0.8,0.2,0.2,2.9,4.3
AFFX-r2-Bs-dap-5_at,1.9,0.8,1.2,0.8,1.1,0.9,0.7,1.1,1,1,3.3,1.1,0.6,0.7,1.1,1,1.4,2.5,0.2,0.9,2.1,0.6
