"lkcode" "lknum" "spp" "len" "wt"
"ROC63" 1 "LMB" 3.4 0.01
"ROC63" 1 "LMB" 3.2 0.01
"ROC63" 1 "LMB" 3.2 0.01
"ROC63" 1 "LMB" 3.4 0.03
"ROC63" 1 "LMB" 3.4 0.03
"ROC63" 1 "LMB" 3.5 0.02
"ROC63" 1 "LMB" 3.5 0.03
"ROC63" 1 "LMB" 3.5 0.03
"ROC63" 1 "LMB" 3.7 0.03
"ROC63" 1 "LMB" 3.8 0.04
"ROC63" 1 "LMB" 4 0.03
"ROC63" 1 "LMB" 4.3 0.03
"ROC63" 1 "LMB" 4.3 0.04
"ROC63" 1 "LMB" 4.3 0.04
"ROC63" 1 "LMB" 4.4 0.06
"ROC63" 1 "LMB" 4.5 0.06
"ROC63" 1 "LMB" 5.1 0.06
"ROC63" 1 "LMB" 5.3 0.03
"ROC63" 1 "LMB" 8.2 0.26
"ROC63" 1 "LMB" 8.2 0.27
"ROC63" 1 "LMB" 8.2 0.28
"ROC63" 1 "LMB" 8.3 0.28
"ROC63" 1 "LMB" 8.3 0.31
"ROC63" 1 "LMB" 8.5 0.27
"ROC63" 1 "LMB" 8.8 0.3
"ROC63" 1 "LMB" 8.8 0.37
"ROC63" 1 "LMB" 8.8 0.4
"ROC63" 1 "LMB" 8.9 0.32
"ROC63" 1 "LMB" 8.9 0.34
"ROC63" 1 "LMB" 9 0.35
"ROC63" 1 "LMB" 9.1 0.43
"ROC63" 1 "LMB" 9.3 0.42
"ROC63" 1 "LMB" 9.4 0.39
"ROC63" 1 "LMB" 9.5 0.38
"ROC63" 1 "LMB" 9.5 0.41
"ROC63" 1 "LMB" 9.5 0.45
"ROC63" 1 "LMB" 9.6 0.44
"ROC63" 1 "LMB" 9.8 0.56
"ROC63" 1 "LMB" 9.9 0.52
"ROC63" 1 "LMB" 10 0.49
"ROC63" 1 "LMB" 10.1 0.51
"ROC63" 1 "LMB" 10.2 0.59
"ROC63" 1 "LMB" 10.3 0.63
"ROC63" 1 "LMB" 11 0.66
"ROC63" 1 "LMB" 11 0.72
"ROC63" 1 "LMB" 11 0.73
"ROC63" 1 "LMB" 11.1 0.74
"ROC63" 1 "LMB" 11.2 0.84
"ROC63" 1 "LMB" 11.3 0.78
"ROC63" 1 "LMB" 12 1.02
"ROC63" 1 "LMB" 12.6 1.15
"ROC63" 1 "LMB" 13 1.1
"ROC63" 1 "LMB" 13.1 1.12
"ROC63" 1 "LMB" 13.1 1.22
"ROC63" 1 "LMB" 13.4 1.2
"ROC63" 1 "LMB" 13.5 1.39
"ROC63" 1 "LMB" 13.8 1.43
"ROC63" 1 "LMB" 13.9 1.21
"ROC63" 1 "LMB" 14 1.58
"ROC63" 1 "LMB" 14.5 1.54
"ROC63" 1 "LMB" 14.7 1.81
"ROC63" 1 "LMB" 14.8 1.68
"ROC63" 1 "LMB" 14.8 1.73
"ROC63" 1 "LMB" 14.8 1.96
"ROC63" 1 "LMB" 14.9 2.1
"ROC63" 1 "LMB" 15.1 1.88
"ROC63" 1 "LMB" 16.2 2.1
"ROC63" 1 "LMB" 16.5 2.23
